"reference_date","target","horizon","location","target_end_date","output_type","output_type_id","value"
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.25,58.0625982146837
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.3,59.8195986071081
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.35,61.6029229816786
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.4,62.576206909319
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.45,63.3464175731432
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.5,64.0992383854402
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.55,65.151409363733
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.6,65.7169751536781
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.65,67.8646839842967
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.7,69.7654621662126
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.75,73.6239768349084
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.8,75.4952615649506
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.85,79.2911798495282
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.9,85.5078232267053
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.95,99.247251702693
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.975,110.933117932804
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.99,130.950869577717
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.01,471.024700827392
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.025,567.061531339743
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.05,669.49069831708
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.1,694.989233672113
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.15,712.422806906222
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.2,737.724363724687
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.25,759.849390672019
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.3,776.880857822757
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.35,799.496241563359
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.4,808.719422502099
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.45,815.20998438231
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.5,817.111081264777
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.55,821.868364040106
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.6,825.193337377549
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.65,849.320955885519
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.7,867.082986341433
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.75,878.220204853017
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.8,895.058745805219
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.85,918.153320312038
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.9,981.618421006004
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.95,1087.01846942353
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.975,1228.50655358129
2025-03-22,"wk inc flu hosp",0,"12",2025-03-22,"quantile",0.99,1457.4677306395
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.01,138.12432146483
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.025,174.500198923216
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.05,203.024497651519
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.1,218.544240489919
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.15,226.107300516273
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.2,235.122921646529
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.25,244.246801340171
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.3,253.739558956675
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.35,264.574895200068
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.4,265.711486675604
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.45,273.267705867886
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.5,279.780695970457
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.55,284.225060531531
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.6,287.670399781788
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.65,302.495686637438
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.7,311.453239307265
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.75,314.334374926745
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.8,317.885090232184
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.85,334.584468474365
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.9,349.713889782063
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.95,390.652927490564
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.975,450.189400900265
2025-03-22,"wk inc flu hosp",0,"13",2025-03-22,"quantile",0.99,534.832639801995
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.01,15.1871948981772
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.025,22.7633511539899
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.05,29.5810803301793
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.1,34.1740456156948
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.15,37.5403939991843
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.2,39.4686556023664
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.25,41.7388996881779
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.3,44.0611636893833
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.35,45.8676038557311
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.4,46.4248826892176
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.45,46.84713591753
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.5,47.765994688326
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.55,49.394431026527
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.6,50.5018897233598
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.65,52.8766367199751
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.7,54.2988787091905
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.75,56.6455219358486
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.8,59.5928673402099
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.85,62.8760736532773
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.9,66.625576431993
