feat,importance,b,q_level
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,84,0,0.01
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,10,0,0.01
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,19,0,0.01
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,39,0,0.01
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,37,0,0.01
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,21,0,0.01
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,31,0,0.01
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,42,0,0.01
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,68,0,0.01
inc_trans_cs_rollmean_w2_lag1,19,0,0.01
inc_trans_cs_rollmean_w2_lag2,26,0,0.01
inc_trans_cs_rollmean_w4_lag1,40,0,0.01
inc_trans_cs_rollmean_w4_lag2,61,0,0.01
horizon,136,0,0.01
inc_trans_cs,147,0,0.025
season_week,292,0,0.025
log_pop,265,0,0.025
source_flusurvnet,55,0,0.025
source_ilinet,29,0,0.025
source_nhsn,29,0,0.025
agg_level_national,0,0,0.025
agg_level_state,0,0,0.025
location_01,1,0,0.025
location_02,0,0,0.025
location_04,7,0,0.025
location_05,5,0,0.025
location_06,1,0,0.025
location_08,1,0,0.025
location_09,14,0,0.025
location_10,13,0,0.025
location_11,0,0,0.025
location_12,2,0,0.025
location_13,11,0,0.025
location_15,4,0,0.025
location_16,12,0,0.025
location_17,1,0,0.025
location_18,1,0,0.025
location_19,20,0,0.025
location_20,2,0,0.025
location_21,1,0,0.025
location_22,7,0,0.025
location_23,4,0,0.025
location_24,6,0,0.025
location_25,2,0,0.025
location_26,4,0,0.025
location_27,7,0,0.025
location_28,13,0,0.025
location_29,12,0,0.025
location_30,11,0,0.025
location_31,11,0,0.025
location_32,2,0,0.025
location_33,7,0,0.025
location_34,5,0,0.025
location_35,2,0,0.025
location_36,6,0,0.025
location_37,4,0,0.025
location_38,8,0,0.025
location_39,1,0,0.025
location_40,0,0,0.025
location_41,11,0,0.025
location_42,2,0,0.025
location_44,2,0,0.025
location_45,2,0,0.025
location_46,6,0,0.025
location_47,5,0,0.025
location_48,3,0,0.025
location_49,14,0,0.025
location_50,3,0,0.025
location_51,4,0,0.025
location_53,14,0,0.025
location_54,0,0,0.025
location_55,9,0,0.025
location_56,0,0,0.025
location_72,1,0,0.025
location_US,0,0,0.025
delta_xmas,130,0,0.025
inc_trans_cs_taylor_d2_c0_w4t_sNone,57,0,0.025
inc_trans_cs_taylor_d2_c1_w4t_sNone,85,0,0.025
inc_trans_cs_taylor_d2_c2_w4t_sNone,50,0,0.025
inc_trans_cs_taylor_d2_c0_w6t_sNone,45,0,0.025
inc_trans_cs_taylor_d2_c1_w6t_sNone,56,0,0.025
inc_trans_cs_taylor_d2_c2_w6t_sNone,59,0,0.025
inc_trans_cs_taylor_d1_c0_w3t_sNone,31,0,0.025
inc_trans_cs_taylor_d1_c1_w3t_sNone,63,0,0.025
inc_trans_cs_taylor_d1_c0_w5t_sNone,40,0,0.025
inc_trans_cs_taylor_d1_c1_w5t_sNone,72,0,0.025
inc_trans_cs_rollmean_w2,36,0,0.025
inc_trans_cs_rollmean_w4,44,0,0.025
inc_trans_cs_lag1,36,0,0.025
inc_trans_cs_lag2,39,0,0.025
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,12,0,0.025
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,26,0,0.025
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,55,0,0.025
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,34,0,0.025
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,46,0,0.025
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,63,0,0.025
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,21,0,0.025
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,28,0,0.025
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,30,0,0.025
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,47,0,0.025
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,59,0,0.025
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,88,0,0.025
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,10,0,0.025
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,12,0,0.025
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,47,0,0.025
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,45,0,0.025
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,16,0,0.025
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,22,0,0.025
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,38,0,0.025
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,64,0,0.025
inc_trans_cs_rollmean_w2_lag1,22,0,0.025
inc_trans_cs_rollmean_w2_lag2,16,0,0.025
inc_trans_cs_rollmean_w4_lag1,37,0,0.025
inc_trans_cs_rollmean_w4_lag2,69,0,0.025
horizon,149,0,0.025
inc_trans_cs,141,0,0.05
season_week,336,0,0.05
log_pop,251,0,0.05
source_flusurvnet,56,0,0.05
source_ilinet,29,0,0.05
source_nhsn,46,0,0.05
agg_level_national,0,0,0.05
agg_level_state,0,0,0.05
location_01,1,0,0.05
location_02,2,0,0.05
location_04,5,0,0.05
location_05,11,0,0.05
location_06,1,0,0.05
location_08,1,0,0.05
location_09,12,0,0.05
location_10,17,0,0.05
location_11,3,0,0.05
location_12,1,0,0.05
location_13,4,0,0.05
location_15,0,0,0.05
location_16,14,0,0.05
location_17,0,0,0.05
location_18,3,0,0.05
location_19,20,0,0.05
location_20,0,0,0.05
location_21,0,0,0.05
location_22,12,0,0.05
location_23,1,0,0.05
location_24,5,0,0.05
location_25,3,0,0.05
location_26,11,0,0.05
location_27,5,0,0.05
location_28,6,0,0.05
location_29,11,0,0.05
location_30,9,0,0.05
location_31,7,0,0.05
location_32,2,0,0.05
location_33,10,0,0.05
location_34,5,0,0.05
location_35,1,0,0.05
location_36,3,0,0.05
location_37,8,0,0.05
location_38,6,0,0.05
location_39,3,0,0.05
location_40,0,0,0.05
location_41,6,0,0.05
location_42,1,0,0.05
location_44,3,0,0.05
location_45,3,0,0.05
location_46,5,0,0.05
location_47,9,0,0.05
location_48,4,0,0.05
location_49,4,0,0.05
location_50,2,0,0.05
location_51,8,0,0.05
location_53,6,0,0.05
location_54,2,0,0.05
location_55,9,0,0.05
location_56,0,0,0.05
location_72,3,0,0.05
location_US,0,0,0.05
delta_xmas,132,0,0.05
inc_trans_cs_taylor_d2_c0_w4t_sNone,57,0,0.05
inc_trans_cs_taylor_d2_c1_w4t_sNone,82,0,0.05
inc_trans_cs_taylor_d2_c2_w4t_sNone,52,0,0.05
inc_trans_cs_taylor_d2_c0_w6t_sNone,42,0,0.05
inc_trans_cs_taylor_d2_c1_w6t_sNone,59,0,0.05
inc_trans_cs_taylor_d2_c2_w6t_sNone,43,0,0.05
inc_trans_cs_taylor_d1_c0_w3t_sNone,36,0,0.05
inc_trans_cs_taylor_d1_c1_w3t_sNone,48,0,0.05
inc_trans_cs_taylor_d1_c0_w5t_sNone,43,0,0.05
inc_trans_cs_taylor_d1_c1_w5t_sNone,77,0,0.05
inc_trans_cs_rollmean_w2,27,0,0.05
inc_trans_cs_rollmean_w4,58,0,0.05
inc_trans_cs_lag1,35,0,0.05
inc_trans_cs_lag2,33,0,0.05
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,22,0,0.05
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,12,0,0.05
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,38,0,0.05
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,42,0,0.05
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,42,0,0.05
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,48,0,0.05
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,25,0,0.05
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,36,0,0.05
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,34,0,0.05
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,50,0,0.05
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,53,0,0.05
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,80,0,0.05
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,9,0,0.05
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,22,0,0.05
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,42,0,0.05
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,36,0,0.05
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,27,0,0.05
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,20,0,0.05
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,39,0,0.05
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,81,0,0.05
inc_trans_cs_rollmean_w2_lag1,18,0,0.05
inc_trans_cs_rollmean_w2_lag2,21,0,0.05
inc_trans_cs_rollmean_w4_lag1,32,0,0.05
inc_trans_cs_rollmean_w4_lag2,86,0,0.05
horizon,134,0,0.05
inc_trans_cs,153,0,0.1
season_week,335,0,0.1
log_pop,223,0,0.1
source_flusurvnet,61,0,0.1
source_ilinet,42,0,0.1
source_nhsn,45,0,0.1
agg_level_national,0,0,0.1
agg_level_state,0,0,0.1
location_01,3,0,0.1
location_02,2,0,0.1
location_04,4,0,0.1
location_05,5,0,0.1
location_06,1,0,0.1
location_08,2,0,0.1
location_09,13,0,0.1
location_10,24,0,0.1
location_11,6,0,0.1
location_12,0,0,0.1
location_13,6,0,0.1
location_15,0,0,0.1
location_16,16,0,0.1
location_17,2,0,0.1
location_18,1,0,0.1
location_19,15,0,0.1
location_20,0,0,0.1
location_21,4,0,0.1
location_22,11,0,0.1
location_23,0,0,0.1
location_24,3,0,0.1
location_25,8,0,0.1
location_26,6,0,0.1
location_27,4,0,0.1
location_28,9,0,0.1
location_29,11,0,0.1
location_30,22,0,0.1
location_31,8,0,0.1
location_32,2,0,0.1
location_33,4,0,0.1
location_34,8,0,0.1
location_35,4,0,0.1
location_36,2,0,0.1
location_37,4,0,0.1
location_38,4,0,0.1
location_39,1,0,0.1
location_40,4,0,0.1
location_41,1,0,0.1
location_42,0,0,0.1
location_44,6,0,0.1
location_45,3,0,0.1
location_46,4,0,0.1
location_47,6,0,0.1
location_48,3,0,0.1
location_49,3,0,0.1
location_50,3,0,0.1
location_51,9,0,0.1
location_53,2,0,0.1
location_54,2,0,0.1
location_55,1,0,0.1
location_56,0,0,0.1
location_72,5,0,0.1
location_US,0,0,0.1
delta_xmas,176,0,0.1
inc_trans_cs_taylor_d2_c0_w4t_sNone,52,0,0.1
inc_trans_cs_taylor_d2_c1_w4t_sNone,85,0,0.1
inc_trans_cs_taylor_d2_c2_w4t_sNone,51,0,0.1
inc_trans_cs_taylor_d2_c0_w6t_sNone,39,0,0.1
inc_trans_cs_taylor_d2_c1_w6t_sNone,53,0,0.1
inc_trans_cs_taylor_d2_c2_w6t_sNone,57,0,0.1
inc_trans_cs_taylor_d1_c0_w3t_sNone,40,0,0.1
inc_trans_cs_taylor_d1_c1_w3t_sNone,75,0,0.1
inc_trans_cs_taylor_d1_c0_w5t_sNone,24,0,0.1
inc_trans_cs_taylor_d1_c1_w5t_sNone,70,0,0.1
inc_trans_cs_rollmean_w2,20,0,0.1
inc_trans_cs_rollmean_w4,50,0,0.1
inc_trans_cs_lag1,50,0,0.1
inc_trans_cs_lag2,39,0,0.1
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,6,0,0.1
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,15,0,0.1
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,39,0,0.1
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,39,0,0.1
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,39,0,0.1
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,37,0,0.1
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,18,0,0.1
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,16,0,0.1
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,30,0,0.1
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,40,0,0.1
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,42,0,0.1
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,83,0,0.1
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,6,0,0.1
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,5,0,0.1
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,35,0,0.1
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,37,0,0.1
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,17,0,0.1
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,22,0,0.1
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,46,0,0.1
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,85,0,0.1
inc_trans_cs_rollmean_w2_lag1,15,0,0.1
inc_trans_cs_rollmean_w2_lag2,20,0,0.1
inc_trans_cs_rollmean_w4_lag1,55,0,0.1
inc_trans_cs_rollmean_w4_lag2,81,0,0.1
horizon,165,0,0.1
inc_trans_cs,155,0,0.15
season_week,366,0,0.15
log_pop,230,0,0.15
source_flusurvnet,64,0,0.15
source_ilinet,55,0,0.15
source_nhsn,32,0,0.15
agg_level_national,0,0,0.15
agg_level_state,0,0,0.15
location_01,1,0,0.15
location_02,2,0,0.15
location_04,4,0,0.15
location_05,6,0,0.15
location_06,0,0,0.15
location_08,3,0,0.15
location_09,7,0,0.15
location_10,7,0,0.15
location_11,5,0,0.15
location_12,0,0,0.15
location_13,8,0,0.15
location_15,4,0,0.15
location_16,3,0,0.15
location_17,0,0,0.15
location_18,1,0,0.15
location_19,16,0,0.15
location_20,0,0,0.15
location_21,7,0,0.15
location_22,10,0,0.15
location_23,0,0,0.15
location_24,7,0,0.15
location_25,3,0,0.15
location_26,0,0,0.15
location_27,3,0,0.15
location_28,5,0,0.15
location_29,8,0,0.15
location_30,6,0,0.15
location_31,10,0,0.15
location_32,2,0,0.15
location_33,0,0,0.15
location_34,5,0,0.15
location_35,3,0,0.15
location_36,1,0,0.15
location_37,2,0,0.15
location_38,4,0,0.15
location_39,1,0,0.15
location_40,3,0,0.15
location_41,5,0,0.15
location_42,0,0,0.15
location_44,2,0,0.15
location_45,1,0,0.15
location_46,3,0,0.15
location_47,3,0,0.15
location_48,1,0,0.15
location_49,0,0,0.15
location_50,6,0,0.15
location_51,11,0,0.15
location_53,1,0,0.15
location_54,1,0,0.15
location_55,1,0,0.15
location_56,0,0,0.15
location_72,7,0,0.15
location_US,0,0,0.15
delta_xmas,207,0,0.15
inc_trans_cs_taylor_d2_c0_w4t_sNone,47,0,0.15
inc_trans_cs_taylor_d2_c1_w4t_sNone,73,0,0.15
inc_trans_cs_taylor_d2_c2_w4t_sNone,46,0,0.15
inc_trans_cs_taylor_d2_c0_w6t_sNone,48,0,0.15
inc_trans_cs_taylor_d2_c1_w6t_sNone,102,0,0.15
inc_trans_cs_taylor_d2_c2_w6t_sNone,75,0,0.15
inc_trans_cs_taylor_d1_c0_w3t_sNone,29,0,0.15
inc_trans_cs_taylor_d1_c1_w3t_sNone,47,0,0.15
inc_trans_cs_taylor_d1_c0_w5t_sNone,38,0,0.15
inc_trans_cs_taylor_d1_c1_w5t_sNone,69,0,0.15
inc_trans_cs_rollmean_w2,19,0,0.15
inc_trans_cs_rollmean_w4,40,0,0.15
inc_trans_cs_lag1,34,0,0.15
inc_trans_cs_lag2,32,0,0.15
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,17,0,0.15
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,8,0,0.15
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,40,0,0.15
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,31,0,0.15
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,48,0,0.15
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,38,0,0.15
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,16,0,0.15
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,23,0,0.15
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,25,0,0.15
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,32,0,0.15
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,35,0,0.15
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,71,0,0.15
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,7,0,0.15
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,14,0,0.15
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,25,0,0.15
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,20,0,0.15
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,20,0,0.15
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,24,0,0.15
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,46,0,0.15
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,67,0,0.15
inc_trans_cs_rollmean_w2_lag1,15,0,0.15
inc_trans_cs_rollmean_w2_lag2,18,0,0.15
inc_trans_cs_rollmean_w4_lag1,96,0,0.15
inc_trans_cs_rollmean_w4_lag2,59,0,0.15
horizon,208,0,0.15
inc_trans_cs,154,0,0.2
season_week,325,0,0.2
log_pop,271,0,0.2
source_flusurvnet,69,0,0.2
source_ilinet,55,0,0.2
source_nhsn,36,0,0.2
agg_level_national,0,0,0.2
agg_level_state,0,0,0.2
location_01,2,0,0.2
location_02,2,0,0.2
location_04,3,0,0.2
location_05,7,0,0.2
location_06,1,0,0.2
location_08,3,0,0.2
location_09,12,0,0.2
location_10,7,0,0.2
location_11,5,0,0.2
location_12,1,0,0.2
location_13,7,0,0.2
location_15,5,0,0.2
location_16,2,0,0.2
location_17,5,0,0.2
location_18,1,0,0.2
location_19,11,0,0.2
location_20,3,0,0.2
location_21,7,0,0.2
location_22,11,0,0.2
location_23,1,0,0.2
location_24,6,0,0.2
location_25,1,0,0.2
location_26,2,0,0.2
location_27,5,0,0.2
location_28,4,0,0.2
location_29,8,0,0.2
location_30,7,0,0.2
location_31,3,0,0.2
location_32,1,0,0.2
location_33,2,0,0.2
location_34,6,0,0.2
location_35,5,0,0.2
location_36,2,0,0.2
location_37,0,0,0.2
location_38,3,0,0.2
location_39,0,0,0.2
location_40,7,0,0.2
location_41,2,0,0.2
location_42,1,0,0.2
location_44,7,0,0.2
location_45,0,0,0.2
location_46,2,0,0.2
location_47,5,0,0.2
location_48,0,0,0.2
location_49,4,0,0.2
location_50,5,0,0.2
location_51,10,0,0.2
location_53,1,0,0.2
location_54,2,0,0.2
location_55,0,0,0.2
location_56,0,0,0.2
location_72,9,0,0.2
location_US,0,0,0.2
delta_xmas,198,0,0.2
inc_trans_cs_taylor_d2_c0_w4t_sNone,49,0,0.2
inc_trans_cs_taylor_d2_c1_w4t_sNone,74,0,0.2
inc_trans_cs_taylor_d2_c2_w4t_sNone,74,0,0.2
inc_trans_cs_taylor_d2_c0_w6t_sNone,36,0,0.2
inc_trans_cs_taylor_d2_c1_w6t_sNone,58,0,0.2
inc_trans_cs_taylor_d2_c2_w6t_sNone,50,0,0.2
inc_trans_cs_taylor_d1_c0_w3t_sNone,37,0,0.2
inc_trans_cs_taylor_d1_c1_w3t_sNone,85,0,0.2
inc_trans_cs_taylor_d1_c0_w5t_sNone,25,0,0.2
inc_trans_cs_taylor_d1_c1_w5t_sNone,58,0,0.2
inc_trans_cs_rollmean_w2,25,0,0.2
inc_trans_cs_rollmean_w4,42,0,0.2
inc_trans_cs_lag1,48,0,0.2
inc_trans_cs_lag2,30,0,0.2
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,20,0,0.2
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,15,0,0.2
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,39,0,0.2
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,31,0,0.2
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,40,0,0.2
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,40,0,0.2
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,19,0,0.2
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,18,0,0.2
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,33,0,0.2
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,29,0,0.2
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,46,0,0.2
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,91,0,0.2
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,16,0,0.2
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,7,0,0.2
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag1,30,0,0.2
inc_trans_cs_taylor_d1_c1_w3t_sNone_lag2,18,0,0.2
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag1,24,0,0.2
inc_trans_cs_taylor_d1_c0_w5t_sNone_lag2,28,0,0.2
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag1,50,0,0.2
inc_trans_cs_taylor_d1_c1_w5t_sNone_lag2,89,0,0.2
inc_trans_cs_rollmean_w2_lag1,9,0,0.2
inc_trans_cs_rollmean_w2_lag2,13,0,0.2
inc_trans_cs_rollmean_w4_lag1,46,0,0.2
inc_trans_cs_rollmean_w4_lag2,77,0,0.2
horizon,167,0,0.2
inc_trans_cs,181,0,0.25
season_week,306,0,0.25
log_pop,240,0,0.25
source_flusurvnet,55,0,0.25
source_ilinet,72,0,0.25
source_nhsn,39,0,0.25
agg_level_national,0,0,0.25
agg_level_state,0,0,0.25
location_01,3,0,0.25
location_02,0,0,0.25
location_04,7,0,0.25
location_05,5,0,0.25
location_06,3,0,0.25
location_08,5,0,0.25
location_09,11,0,0.25
location_10,7,0,0.25
location_11,10,0,0.25
location_12,1,0,0.25
location_13,5,0,0.25
location_15,5,0,0.25
location_16,2,0,0.25
location_17,3,0,0.25
location_18,0,0,0.25
location_19,10,0,0.25
location_20,0,0,0.25
location_21,6,0,0.25
location_22,8,0,0.25
location_23,0,0,0.25
location_24,6,0,0.25
location_25,0,0,0.25
location_26,2,0,0.25
location_27,2,0,0.25
location_28,8,0,0.25
location_29,6,0,0.25
location_30,6,0,0.25
location_31,2,0,0.25
location_32,2,0,0.25
location_33,0,0,0.25
location_34,3,0,0.25
location_35,2,0,0.25
location_36,5,0,0.25
location_37,0,0,0.25
location_38,2,0,0.25
location_39,0,0,0.25
location_40,8,0,0.25
location_41,0,0,0.25
location_42,0,0,0.25
location_44,3,0,0.25
location_45,2,0,0.25
location_46,2,0,0.25
location_47,5,0,0.25
location_48,0,0,0.25
location_49,2,0,0.25
location_50,8,0,0.25
location_51,10,0,0.25
location_53,0,0,0.25
location_54,5,0,0.25
location_55,2,0,0.25
location_56,0,0,0.25
location_72,13,0,0.25
location_US,0,0,0.25
delta_xmas,205,0,0.25
inc_trans_cs_taylor_d2_c0_w4t_sNone,38,0,0.25
inc_trans_cs_taylor_d2_c1_w4t_sNone,77,0,0.25
inc_trans_cs_taylor_d2_c2_w4t_sNone,69,0,0.25
inc_trans_cs_taylor_d2_c0_w6t_sNone,38,0,0.25
inc_trans_cs_taylor_d2_c1_w6t_sNone,51,0,0.25
inc_trans_cs_taylor_d2_c2_w6t_sNone,42,0,0.25
inc_trans_cs_taylor_d1_c0_w3t_sNone,37,0,0.25
inc_trans_cs_taylor_d1_c1_w3t_sNone,73,0,0.25
inc_trans_cs_taylor_d1_c0_w5t_sNone,40,0,0.25
inc_trans_cs_taylor_d1_c1_w5t_sNone,73,0,0.25
inc_trans_cs_rollmean_w2,27,0,0.25
inc_trans_cs_rollmean_w4,40,0,0.25
inc_trans_cs_lag1,56,0,0.25
inc_trans_cs_lag2,34,0,0.25
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,25,0,0.25
